ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Jahresumsatz;Verkaufsflaeche
1698;47929;Grefrath;Stadionstr. 161;10188;5094;35658
1699;41066;Mönchengladbach-Neuwerk;Engelblecker Str. 73;40776;13592;95144
1700;41749;Viersen-Süchteln;Tönisvorster Str. 65;98600;49300;443700
1701;41515;Grevenbroich-Südstadt;Kolpingstr. 89;85050;42525;255150
1702;41065;Mönchengladbach-Lürrip;Neusser Str. 57;64676;32338;323380
1703;41515;Grevenbroich-Elsen;Am Hammerwerk 31;51090;17030;119210
1704;41238;Mönchengladbach-Giesenkirchen;Konstantinstr. 51;34080;17040;119280
1705;41236;Mönchengladbach-Rheydt;Breite Str. 120;98890;49445;247225
1706;41238;Mönchengladbach-Geneicken;Stockholtweg 100;143304;47768;429912
1707;41068;Mönchengladbach-Waldhausen;Monschauer Str. 31;97299;32433;324330
1708;41751;Viersen-Dülken;Heiligenstr. 1;6832;3416;20496
1709;41236;Mönchengladbach-Rheydt;Mittelstr. 48;97413;32471;162355
1710;41363;Jüchen;Kölner Str. 29;10260;3420;17100
1711;41334;Nettetal-Lobberich;Niedieckstr. 58;128325;42775;427750
1712;41199;Mönchengladbach-Odenkirchen;Stapper Weg 11;148944;49648;297888
1713;41334;Nettetal-Kaldenkirchen;Poststr. 67-73;10278;3426;20556
1714;41179;Mönchengladbach-Rheindahlen;Gladbacher Str. 49;82272;27424;137120
1715;41366;Schwalmtal-Waldniel;Roermonder Str. 7;13720;6860;34300
1716;41379;Brüggen;Borner Str. 78;30888;10296;102960
1717;41844;Wegberg;Am Bahnhof 12;56661;18887;132209
1718;41372;Niederkrüchten;Gewerbering 14;15462;5154;36078
1719;41812;Erkelenz;Gewerbestr. Süd 1;13752;6876;55008
1720;41836;Hückelhoven;Am Landabsatz 1;30960;10320;103200
1721;41836;Hückelhoven;Neckarstr. 3;65398;32699;196194
1722;41849;Wassenberg;Weilerstr. 59;30996;15498;92988
1723;59302;Oelde;Rhedaer Str. 3;144732;48244;337708
1724;59329;Wadersloh;Poßkamp 23;144816;48272;386176
1725;59555;Lippstadt;Wiedenbrücker Str. 50;75900;37950;189750
1726;59320;Ennigerloh;Neubeckumer Str. 58;65588;32794;163970
1727;59557;Lippstadt;Südertor 1;51810;25905;181335
1728;59269;Beckum-Neubeckum;Mark I 2;65664;32832;229824
1729;59590;Geseke;Störmeder Str. 40;55328;27664;276640
1730;59557;Lippstadt-Süd;Planckstr. 2;24220;12110;60550
1731;59269;Beckum;Sternstr. 9;27696;13848;124632
1732;59227;Ahlen;Warendorfer Str. 120;10392;5196;36372
1733;59227;Ahlen;Hammer Str. 10;97048;48524;388192
1734;59609;Anröchte;Berger Str. 8;150858;50286;502860
1735;59229;Ahlen;Hammer Straße;38170;19085;152680
1736;59071;Hamm;Ostwennemar Str.;65968;32984;230888
1737;59494;Soest;Am Bahnhof 2;34740;17370;173700
1738;59494;Soest;Opmünder Weg 77;67782;22594;203346
1739;59073;Hamm-Heessen;Ahlener Str. 75;3478;1739;17390
1740;59065;Hamm-Norden;Münsterstr. 77;66120;33060;264480
1741;59581;Warstein-Sichtigvor;Möhnestr. 142;52230;17410;87050
1742;59075;Hamm-Bockum;Friedrich-Ebert-Str. 14;135876;45292;271752
1743;59075;Hamm;Rautenstrauchstr. 55;88893;29631;266679
1744;59067;Hamm-Wiescherhöfen;Lohauserholzstr. 2B;13952;6976;55808
1745;59581;Warstein-Suttrop;Alte Kreisstr. 11;10470;5235;26175
1746;59457;Werl;Unnaer Str. 43-45;36666;12222;122220
1747;59077;Hamm-Pelkum;Kamener Str. 176;73374;36687;183435
1748;59368;Werne-Stockum;Werner Str. 20;83904;27968;167808
1749;59929;Brilon;Möhnestr. 26;27984;13992;83952
1750;59469;Ense-Niederense;Am Riesenberg 1A;98000;49000;294000
1751;59192;Bergkamen-Rünthe;Westenhellweg 2;10506;3502;24514
1752;59900;Bestwig;Bundesstr. 149-151;110376;36792;294336
1753;59909;Bestwig;Bundesstr. 149;105180;35060;175300
1754;59755;Arnsberg-Neheim;Tappeweg 13;147336;49112;294672
1755;59192;Bergkamen-Mitte;Parkstr. 23;57915;19305;173745
1756;59823;Arnsberg-Oeventrop;Oeventroper Str. 5;10536;5268;42144
1757;59872;Meschede;Im Schwarzen Bruch 46;66766;33383;200298
1758;59759;Arnsberg-Hüsten;Heinrich-Lübke-Str. 3;80868;40434;242604
1759;59821;Arnsberg;Ruhrstr. 68;70360;35180;175900
1760;59174;Kamen-Mitte;Lünener Str. 59;98560;49280;344960
1761;59425;Unna-Königsborn;Kamener Str. 37-39;56352;28176;197232
1762;59872;Meschede-Freienohl;Bahnhofstr. 80;42288;14096;126864
1763;59348;Lüdinghausen;Valve 42;100491;33497;267976
1764;59192;Bergkamen-Oberaden;Jahnstr. 24;35280;17640;158760
1765;59423;Unna;Bertha-von Suttner-Allee 2;42360;21180;211800
1766;59425;Unna-Königsborn;Hansastr. 74;63576;21192;190728
1767;59939;Olsberg;Carls-Aue-Str. 16;15903;5301;42408
1768;59379;Selm;Ludgeri Str. 2A;35360;17680;141440
1769;58730;Fröndenberg;Wilh.-Feuerhake-Str. 10;35380;17690;88450
1770;58706;Menden-Mitte;Fröndenberger Str. 101;53100;26550;238950
1771;59174;Kamen-Süd;Dortmunder Allee 14;100947;33649;269192
1772;58708;Menden-Bösperde;Holzener Dorfstr. 8;95688;31896;191376
1773;58710;Menden-Lendringsen;Lendringser Hauptstr. 71;148932;49644;397152
1774;59439;Holzwickede;Wilhelmstr. 2C;37254;12418;124180
1775;59846;Sundern;Settmecke Str. 35;21300;10650;53250
1776;58675;Hemer;Mendener Str. 46;95904;47952;239760
1777;58675;Hemer;Elsa-Brandström-Str. 11;74634;24878;248780
1778;58802;Balve;Hönnetalstr. 44;24892;12446;74676
1779;58636;Iserlohn-Wermingsen;Westfalenstr. 81;80055;26685;133425
1780;58638;Iserlohn-Nußberg;Schapker Weg 2;21360;7120;49840
1781;58239;Schwerte;Schützenstr. 34A;133575;44525;222625
1782;59955;Winterberg;Im Mühlengrund 1;155034;51678;465102
1783;58644;Iserlohn-Zentrum;Karl-Arnold-Str. 14;14264;7132;64188
1784;58239;Schwerte-Holzen;Rosenweg 25/27;123096;41032;410320
1785;57392;Schmallenberg-Bad Fredeburg;Wehrscheid 22;24990;12495;74970
1786;58239;Schwerte-Westhofen;Reichshofstr. 11-13;64296;32148;160740
1787;58809;Neuenrade;Mühlendorf 12;58971;19657;176913
1788;58642;Iserlohn-Letmathe;Hagener Str. 177;64368;21456;171648
1789;57392;Schmallenberg;Alte Post/ Weststr. 2;32202;10734;75138
1790;58119;Hagen-Hohenlimburg;Gotenweg 7-9;69810;23270;162890
1791;58840;Plettenberg-Eiringhausen;Breddestr. 1B;17910;8955;89550
1792;58791;Werdohl;Fritz-Thomee-Platz 1;86016;28672;143360
1793;58099;Hagen-Boele;Schwerter Str. 173-175;93236;46618;326326
1794;58762;Altena;Werdohler Str. 5;32292;10764;64584
1795;58840;Plettenberg;Grafweg 19;100520;50260;301560
1796;58453;Witten-Annen;Westfalenstr. 110;16164;5388;43104
1797;58089;Hagen;Schwerter Str./Ecke Sonntagstr.;86256;43128;345024
1798;58099;Hagen-Boele;Schwerter Str. 22;37758;12586;125860
1799;58097;Hagen-Altenhagen;Alexanderstr. 16;97146;32382;259056
1800;57413;Finnentrop;Bamenohler str. 25;135000;45000;405000
1801;58091;Hagen-Eilpe;Eilper Str. 42-44;18010;9005;81045
1802;58095;Hagen-Mitte;Elberfelder Str. 93-103;10812;3604;21624
1803;58455;Witten-Heven;Fischertalweg 18;7212;3606;18030
1804;58300;Wetter;Kaiserstr. 18-22;156948;52316;366212
1805;58135;Hagen-Haspe;Preußerstr. 6;102885;34295;308655
1806;57368;Lennestadt-Altenhundem;Lennewiesen 2;108360;54180;433440
1807;58507;Lüdenscheid;Altenaer Str. 57;92157;30719;245752
1808;58513;Lüdenscheid;Altenaer Str. 55;108480;36160;253120
1809;57439;Attendorn;Anselm-Dingerkus-Str. 4;10854;3618;32562
1810;58509;Lüdenscheid;Schumannstr. 2B;28960;14480;115840
1811;58285;Gevelsberg;Hagener Str. 360;119526;39842;239052
1812;57319;Bad Berleburg;Limburgstr. 26;86976;43488;391392
1813;58515;Lüdenscheid-Brügge;Volmestr. 125;47138;23569;212121
1814;58540;Meinerzhagen-Valbert;Ihnestr. 5;43536;14512;130608
1815;58285;Gevelsberg;Rosendahler Str. 48;108900;36300;254100
1816;58256;Ennepetal;Kölner Str. 115;58112;29056;261504
1817;58553;Halver;Hagener Str. 48A;152628;50876;305256
1818;57339;Erndtebrück;Siegener Str. 15;105444;52722;316332
1819;58332;Schwelm;Oelkinghauser Str. 3;27285;9095;72760
1820;57339;Erndtebrück;Jahnstr. 4;21840;7280;65520
1821;58540;Meinerzhagen;Am Bücking 2;83766;41883;251298
1822;58566;Kierspe;Kölner Str. 145-149;142116;47372;378976
1823;57462;Olpe;Ziegeleistr. 1;76566;25522;204176
1824;58332;Schwelm-West;Barmer Str. 61;91200;45600;410400
1825;57462;Olpe;Hugo-Ruegenberg-Str. 1;43800;21900;153300
1826;57271;Hilchenbach;Wittgensteiner Str. 123;3652;1826;10956
1827;57334;Bad Laasphe;Ludwig-Koch-Str. 7;32886;10962;65772
1828;57223;Kreuztal-Krombach;Hagener Str. 204;38388;12796;102368
1829;57489;Drolshagen;Hagener Str. 75;54870;18290;164610
1830;51709;Marienheide;Schemmen 4;62220;31110;279990
1831;57482;Wenden;Hauptstr. 8;49437;16479;82395
1832;57250;Netphen;Siegstr. 87A/ Brückenstr. 5;115416;38472;230832
1833;51688;Wipperfürth;Lenneper Str. 61;87984;29328;146640
1834;51702;Bergneustadt;Kölner Str. 30;69692;34846;209076
1835;57078;Siegen-Geisweid;Wenschtstr. 1;33030;11010;99090
1836;51580;Reichshof-Eckenhagen;In der Mähbach 2;91800;45900;229500
1837;51643;Gummersbach;Industriestr. 2;121242;40414;202070
1838;57072;Siegen;Hagener Str. 42;99252;49626;446634
1839;57074;Siegen;Frankfurter Str. 25;47814;23907;143442
1840;51645;Gummersbach-Vollmerhausen;Vollmerhauser Str. 70;77280;38640;270480
1841;57258;Freudenberg;Am Silberstern 12;7364;3682;29456
1842;51789;Lindlar;Kirschbäumchen 49;73680;36840;294720
1843;57080;Siegen-Eiserfeld;Eiserfelder Str. 342;49761;16587;149283
1844;57555;Mudersbach;Kölner Str. 4;160428;53476;427808
1845;51766;Engelskirchen;Olpener Str. 15;66420;33210;199260
1846;51545;Waldbröl-Hermesdorf;Hauptstr. 14-20;105222;35074;175370
1847;51597;Morsbach;Wisseraue 7;55410;18470;110820
1848;51674;Wiehl-Drabenderhöhe;Herrenhofer Str. 1;55440;18480;184800
1849;57548;Kirchen;Jungenthaler Str. 1;51772;25886;155316
1850;57290;Neunkirchen-Zeppenfeld;Weidenstr. 3;116550;38850;194250
1851;51399;Burscheid;Massiefen 1-5;81444;40722;203610
1852;57518;Betzdorf;Wilhelmstr. 127-133;51856;25928;233352
1853;51491;Overath-Vilkerath;Steinhauser Auel 1;18530;9265;55590
1854;57562;Herdorf;Am Rathaus 3;111240;37080;296640
1855;51377;Leverkusen-Steinbüchel;Carl-von-Ossietzky-Str. 1;122430;40810;367290
1856;57299;Burbach;Am Rübgarten 1;22272;7424;51968
1857;51465;Bergisch Gladbach-Gladbach;Hauptstr. 393;48282;24141;168987
1858;51379;Leverkusen-Opladen;Bonner Str. 7;44592;22296;178368
1859;51491;Overath-Untereschbach;Schulstr. 22;44616;22308;133848
1860;57537;Wissen;In der Deubach 2;66960;33480;301320
1861;51570;Windeck-Rosbach;Rathausstr. 75;26054;13027;130270
1862;53809;Ruppichteroth;Brölstr. 2H;156408;52136;364952
1863;51429;Bergisch Gladbach-Kaule;Kölner Str. 73;74520;37260;260820
1864;51375;Leverkusen;Hornpottweg 11;22368;11184;78288
1865;51469;Bergisch Gladbach-Gronau;Mülheimer Str. 76;63410;31705;253640
1866;51373;Leverkusen-Küppersteg;Hardenbergstr. 80;145548;48516;388128
1867;51371;Leverkusen-Rheindorf;Elbestr. 2;89616;44808;313656
1868;51377;Leverkusen-Manfort;Stixchesstr. 133;162516;54172;541720
1869;51373;Leverkusen;Stixchesstr. 133;168210;56070;448560
1870;51069;Köln-Dünnwald;Marienheider Str. 1;16830;5610;39270
1871;53819;Neunkirchen-Seelscheid;Hausener Str. 1;78582;39291;314328
1872;51067;Köln-Dellbrück;Wasserwerkstr. 8;3744;1872;13104
1873;53797;Lohmar;Wahlscheider Str. 120;140475;46825;280950
1874;51427;Bergisch Gladbach-Lustheide;Lustheide 111;39354;13118;118062
1875;51503;Rösrath;Hauptstr. 100;56250;28125;168750
1876;51503;Rösrath;Hauptstr. 75;61908;20636;206360
1877;53819;Neunkirchen-Seelscheid;Zum Kisseltal 2;118251;39417;236502
1878;51063;Köln-Mülheim;Wiener Platz 1;163386;54462;544620
1879;51063;Köln-Mülheim;Berliner Str. 156;135288;45096;405864
1880;51063;Köln-Mülheim;Düsseldorfer Str. 177;67680;22560;203040
1881;51067;Köln-Buchheim;Bergisch Gladbacher Str. 190;7524;3762;18810
1882;56470;Bad Marienberg;Jahnstr. 19;15056;7528;60224
1883;53783;Eitorf;Siegstr. 125;52724;26362;184534
1884;51109;Köln-Merheim;Olpener Str. 401;22608;7536;75360
1885;51065;Köln;Wiener Platz 1;86710;43355;260130
1886;50735;Köln-Niehl;Sebastianstr. 28-32;60352;30176;271584
1887;50765;Köln-Chorweiler;Elbeallee 11;86802;43401;303807
1888;50737;Köln-Weidenpesch;Neusser Str. 774-776;164256;54752;438016
1889;51107;Köln-Ostheim;Rösrather Str. 87;158676;52892;317352
1890;57627;Hachenburg;Koblenzer Str. 8;90720;45360;272160
1891;51103;Köln-Kalk;Kasernenstr. 2;60512;30256;302560
1892;51063;Köln-Deutz;Deutz-Mülheimer-Str. 140-144;22704;11352;56760
1893;53797;Lohmar;Kirchstr. 15;107901;35967;179835
1894;51149;Köln-Eil;Friedrich-Naumann-Str. 1;142050;47350;284100
1895;50739;Köln-Bilderstöckchen;Longericher Str. 181-183;79590;26530;132650
1896;51105;Köln-Humboldt;An der Pulvermühle 2;37920;18960;170640
1897;50767;Köln-Pesch;Waffenschmidtstr. 9;30352;15176;136584
1898;51105;Köln-Gremberg;Gremberger Str. 132;153738;51246;256230
1899;57610;Altenkirchen;Kölner Str. 44-48;18990;9495;85455
1900;50823;Köln-Nippes;Hornstr. 88;98800;49400;296400
1901;56477;Rennerod;Hauptstr. 1C;28515;9505;57030
1902;50827;Köln-Ossendorf;Margaretastr. 58;15216;7608;68472
1903;51149;Köln-Ensen;Kölner Str. 8;57090;19030;171270
1904;51145;Köln-Porz;Kaiserstr. 99;57120;19040;190400
1905;50827;Köln-Ossendorf;Rochusstr. 227-235;26670;13335;80010
1906;50679;Köln-Poll;Siegburger Str. 120;38120;19060;152480
1907;50667;Köln-Altstadt Süd;Neumarkt 8-10;143025;47675;333725
1908;53773;Hennef;Emil-Langen-Str. 2;165996;55332;331992
1909;50674;Köln-Neustadt Süd;Habsburgerring 2;114540;57270;286350
1910;51147;Köln-Wahn;Heidestr. 38;5730;1910;17190
1911;50825;Köln-Ehrenfeld;Leyendeckerstr. 2A;7644;3822;19110
1912;53840;Troisdorf;Frankfurter Str. 93;65008;32504;195024
1913;50677;Köln-Neustadt Süd;Bonner Wall 114-116;19130;9565;95650
1914;50968;Köln-Bayenthal;Bonner Str. 243;65076;32538;227766
1915;50933;Köln-Müngersdorf;Widdersdorfer Str. 254;45960;15320;107240
1916;50996;Köln-Rodenkirchen;Ringstr. 48;97716;32572;260576
1917;53842;Troisdorf-Spich;Hauptstr. 77/79;63261;21087;168696
1918;53773;Hennef-Uckerath;Westerwaldstr. 207;49868;24934;199472
1919;50969;Köln-Zollstock;Höninger Weg 133;107464;53732;376124
1920;50968;Köln-Raderberg;Raderberger Str. 211;69120;23040;115200
1921;50937;Köln-Sülz;Rhöndorfer Str. 12;132549;44183;309281
1922;50939;Köln-Sülz;Rhöndorfer Str. 12;132618;44206;442060
1923;50937;Köln-Sülz;Zülpicher Str. 297;57690;28845;230760
1924;53757;St.Augustin-Menden;Siegstr. 2;57720;19240;134680
1925;53844;Troisdorf-Sieglar;Im Zehntfeld 68;75075;25025;125125
1926;53840;Troisdorf-Sieglar;Im Zehntfeld 68;63558;21186;211860
1927;53757;St.Augustin-Mülldorf;Bonner Str. 137;104058;34686;208116
1928;56457;Westerburg;Hergenrother Str. 2B;40488;13496;121464
1929;50996;Köln-Hahnwald;Emil-Hoffmann-Str. 42;38580;19290;154320
1930;50859;Köln-Lövenich;Dieselstr. 1-3;133170;44390;443900
1931;53859;Niederkassel-Ranzel;Porzer Str. 75;115860;57930;521370
1932;50858;Köln-Marsdorf;Horbeller Str. 2-4;88872;44436;311052
1933;50354;Hürth-Efferen;Kaulardstr. 3-5;57990;19330;135310
1934;50354;Hürth-Efferen;Luxemburger Str. 80;15472;7736;69624
1935;50259;Pulheim-Brauweiler;Glessener Str. 2;38700;19350;193500
1936;50226;Frechen;Zedernweg 3;54208;27104;271040
1937;53567;Asbach;Anton-Limbach-Str. 10;40677;13559;94913
1938;53229;Bonn-Beuel;Reinhold-Hagen-Str. 15;34884;17442;87210
1939;50226;Frechen;Dr.Gottfried-Cremer-Allee 16;54292;27146;135730
1940;50354;Hürth-Hermülheim;Kölnstr. 110;157140;52380;471420
1941;53859;Niederkassel-Rheidt;Bahnhofstr. 94;75699;25233;227097
1942;50389;Wesseling;Flach-Fengler-Str. 48-54;69912;23304;139824
1943;56305;Puderbach;Urbacherstr. L264;77720;38860;388600
1944;50129;Bergheim-Niederaußem;Peter-Achnitz-Str. 6;116640;58320;583200
1945;50389;Wesseling-Keldenich;Eichholzer Str. 88;101140;50570;404560
1946;50321;Brühl-Brühl;Kölnstr. 108-110;70056;23352;116760
1947;53332;Bornheim-Hersel;Havelstr. 4;146025;48675;389400
1948;53117;Bonn-Kastell;Kölnstr. 333-337;169476;56492;395444
1949;56593;Horhausen;Landblum 2;46776;15592;155920
1950;56242;Selters;Hammermühler Weg 5;19500;9750;97500
1951;50321;Brühl-Badorf;Steingasse 4;105354;35118;316062
1952;53639;Königswinter-Niederdollendorf;Im Mühlenbruch 9;175680;58560;468480
1953;53604;Bad Honnef;Rottbitzer Str. 36-40;3906;1953;13671
1954;53115;Bonn-Endenich;Endenicher Str. 116;111378;37126;222756
1955;53121;Bonn-Dransdorf;Justus-von-Liebig-Str. 8;134895;44965;269790
1956;53127;Bonn-Dransdorf;Justus-von-Liebig-Str. 8;35208;17604;123228
1957;50169;Kerpen-Horrem;Hauptstr. 5;58710;29355;293550
1958;56269;Dierdorf;Königsberger Str. 8;50908;25454;203632
1959;53129;Bonn-Kessenich;Hausdorffstr. 190;54852;27426;274260
1960;53175;Bonn-Bad Godesberg;Elsässer Str. 20;123480;41160;411600
1961;50181;Bedburg;Wiesenstr. 14;41181;13727;68635
1962;53332;Bornheim-Kardorf;Auf dem Knickert 2;147150;49050;392400
1963;53332;Bornheim-Kardorf;Pappelstr.;17667;5889;53001
1964;50126;Bergheim-Zieverich;Humboldt Str. 7-9;86416;43208;216040
1965;53179;Bonn-Lannesdorf;Drachenburgstr. 7;41265;13755;123795
1966;50169;Kerpen-Brüggen;Heerstr. 507;106164;35388;247716
1967;50169;Kerpen-Türnich;Heerstr. 1-9;5901;1967;19670
1968;53123;Bonn-Duisdorf;Basketsring 7;94464;47232;425088
1969;56422;Wirges;Auf der Klaus 10-12;98450;49225;295350
1970;53619;Rheinbreitbach;Hauptstr. 107;74860;37430;299440
1971;50374;Erftstadt-Liblar;Holzdamm 6;39420;19710;197100
1972;50171;Kerpen;Marienstr. 2;70992;35496;212976
1973;56412;Montabaur-Heiligenroth;Industriestr. 28A;47352;23676;142056
1974;50189;Elsdorf;Eifelstr. 4;59220;19740;98700
1975;50374;Erftstadt-Lechenich;Herriger Str. 29;90850;45425;408825
1976;53919;Weilerswist;Bonner Str. 68;112632;37544;187720
1977;53572;Unkel;Am Hohen Weg 26A;90942;45471;272826
1978;56412;Görgeshausen;Auf den Gärten 1/3/5;23736;7912;71208
1979;53424;Remagen;Zeppelinstr. 2;142488;47496;237480
1980;53343;Wachtberg;Bernareggio Platz 8;95040;47520;237600
1981;56203;Höhr-Grenzhausen;Rudolf-Diesel-Str. 12;11886;3962;27734
1982;53340;Meckenheim;Hermann-Ehlers-Weg 7;89190;29730;237840
1983;52388;Nörvenich;Am Mittelweg 1;35694;11898;83286
1984;56567;Neuwied-Niederbieber;Aubachstr. 88;178560;59520;535680
1985;53498;Bad Breisig;Am Kesselberg 1;39700;19850;119100
1986;56566;Neuwied-Heimbach;Sayner Str. 60;87384;43692;436920
1987;56598;Rheinbrohl;Industriestr. 1;119220;39740;357660
1988;56567;Neuwied-Niederbieber;Biens Mühle 4;91448;45724;365792
1989;53359;Rheinbach;An den Märkten 15;83538;41769;208845
1990;56170;Bendorf;Alter Weg 2;77610;25870;181090
1991;53359;Rheinbach;Aachener Str. 31;89595;29865;268785
1992;53474;Bad Neuenahr-Ahrweiler;Rathausstr. 28;67728;33864;304776
1993;56564;Neuwied;Stettiner Str. 3A;47832;23916;191328
1994;53474;Bad Neuenahr-Ahrweiler;Ahrweiler Str. 50;27916;13958;83748
1995;56179;Vallendar;Rheinstr. 105;5985;1995;13965
1996;56564;Neuwied;Heddesdorfer Str. 13;29940;9980;79840
1997;56626;Andernach;Koblenzer Str. 33;95856;31952;255616
1998;52428;Jülich;Dürener Str. 33;29970;9990;79920
1999;53879;Euskirchen;Paul-Ehrlich-Str. 9;143928;47976;383808
2000;53879;Euskirchen;Roitzheimer Str. 111A;12000;4000;36000
2001;52382;Niederzier;Industriestr. 11;90045;30015;150075
2002;52351;Düren;Kölner Landstr. 265;6006;2002;20020
2003;56218;Mülheim-Kärlich;Industriestr. 30;66099;22033;154231
2004;56070;Koblenz-Kesselheim;Ernst-Abbe-Str. 1;36072;18036;126252
2005;56070;Koblenz-Neuendorf;Wallersheimer Weg 46-48;16040;8020;56140
2006;52349;Düren;Malteserstr. 47;36108;18054;180540
2007;56073;Koblenz-Rauental;Schlachthofstr. 33;32112;16056;112392
2008;56076;Koblenz-Ehrenbreitstein;Im Teichert 115;162648;54216;325296
2009;53909;Zülpich;Römerallee 40-42;120540;60270;542430
2010;52349;Düren;Nideggener Str. 215-217;76380;38190;305520
2011;56130;Bad Ems;Ernst-Born-Str. 4;36198;18099;108594
2012;52525;Heinsberg-Oberbruch;Karl-Arnold-Str. 53;8048;4024;36216
2013;52355;Düren;Monschauer Str. 10;108702;54351;543510
2014;56068;Koblenz-Süd;Frankenstr. 1-3;4028;2014;14098
2015;52525;Heinsberg;Unterbrucher Str. 1;163215;54405;272025
2016;52457;Aldenhoven;Kapuziner Str. 25-27;4032;2016;14112
2017;56368;Katzenelnbogen;Rheinstr. 20-22;72612;24204;193632
2018;56112;Lahnstein;Koblenzer Str. 27-29;80720;40360;363240
2019;52372;Kreuzau;Windener Weg 10;181710;60570;605700
2020;56299;Ochtendung;Michelsbergstr. 1-7;78780;26260;236340
2021;56743;Mendig;Am Flugplatz;133386;44462;222310
2022;53894;Mechernich-Kommern;Mechernicher Weg 3;127386;42462;212310
2023;56745;Weibern;Bahnhofstr. 98;12138;4046;40460
2024;56743;Mendig;Robert-Bosch-Str. 2;12144;4048;24288
2025;52511;Geilenkirchen;Gutenbergstr. 3;113400;56700;453600
2026;52385;Nideggen;Thumer Weg 52;42546;14182;85092
2027;52499;Baesweiler;Carlstr. 71;42567;14189;85134
2028;56321;Rhens;Mainzer-Str. 75;91260;30420;243360
2029;52249;Eschweiler;Dürener Str. 278;127827;42609;255654
2030;53894;Mechernich;Feytalstr. 19;89320;44660;223300
2031;52249;Eschweiler;Auerbachstr. 17;60930;20310;162480
2032;52477;Alsdorf-Mariadorf;Eschweiler Str. 1B;24384;12192;97536
2033;52531;Übach-Palenberg;Am Wasserturm 4;60990;30495;304950
2034;52393;Hürtgenwald-Kleinhau;Zum Steinbruch 2;77292;38646;270522
2035;52477;Alsdorf-Stadt;Am Heggeströver 1B;44770;22385;201465
2036;52531;Übach-Palenberg;Grenzweg 3;73296;24432;171024
2037;56355;Nastätten;Webergasse 13;28518;14259;128331
2038;56727;Mayen;Hausener str. 2-6;65216;32608;293472
2039;56751;Polch;Vor Geisenach 2;93794;46897;328279
2040;56341;Kamp-Bornhofen;Rheinuferstr. 1A;77520;38760;271320
2041;56727;Mayen;Polcher Str. 87;183690;61230;428610
2042;52134;Herzogenrath-Stadt;Rue de Plerin 1;16336;8168;40840
2043;52222;Stolberg-Unterstolberg;Prattelsackstr. 30A;8172;4086;20430
2044;52223;Stolberg-Münsterbusch;Ardennenstr. 5;8176;4088;32704
2045;52538;Selfkant-Tüddern;In der Fummer 14;153375;51125;511250
2046;52538;Selfkant;In der Fummer 2;128898;42966;429660
2047;53925;Kall;Hüttenstr. 98;36846;18423;184230
2048;52146;Würselen;Am alten Kaninsberg 14;61440;30720;245760
2049;53518;Adenau;In der Ex 3;6147;2049;14343
2050;56294;Münstermaifeld;Bahnhofstr. 5;28700;14350;129150
2051;52134;Herzogenrath-Straß;Am Zollhaus 1;90244;45122;270732
2052;52134;Herzogenrath-Kohlscheid;Alte Bahn 9;30780;10260;82080
2053;52070;Aachen-Haaren;Jülicher Str. 358;55431;18477;110862
2054;52078;Aachen-Forst;Reinhardstr. 1D;172536;57512;287560
2055;52068;Aachen-Mitte;Peliserkerstr. 69;28770;14385;129465
2056;53945;Blankenheim;Am Mürel 1A;117192;39064;195320
2057;52072;Aachen-Hörn;Henricistr. 68;135762;45254;226270
2058;56281;Emmelshausen;Am Stadion 3;49392;24696;246960
2059;52064;Aachen-Burtscheid;Eynattener Str. 26;123540;61770;555930
2060;52074;Aachen-Königshügel;Weststr. 50;92700;30900;278100
2061;52152;Simmerath;Robert-Koch-Str. 39;57708;28854;173124
2062;52152;Simmerath;Humboldstr. 9-11;43302;14434;101038
2063;52076;Aachen-Oberforstbach;Werkstr. 29;70142;35071;280568
2064;53937;Schleiden;An der Olef 42/44;12384;6192;55728
2065;55430;Oberwesel;Im Tuchscheren 7;82600;41300;330400
2066;56759;Kaisersesch;Bahnhofstr. 10-16;4132;2066;20660
2067;53539;Kelberg;Hauptstr. 4;66144;33072;198432
2068;55120;Mainz-Mombach;Alte Markthalle 2;28952;14476;86856
2069;55122;Mainz-Neustadt;Hattenbergstr. 7;49656;16552;82760
2070;52156;Monschau-Imgenbroich;Trierer Str. 224;31050;10350;93150
2071;55116;Mainz-Altstadt;Große Bleiche 41-45;74556;24852;149112
2072;56766;Ulmen;Kelberger Str. 12;18648;6216;49728
2073;55130;Mainz-Weisenau;Heiligkreuzweg 120A;49752;16584;82920
2074;56288;Kastellaun;Fordstr. 4;18666;6222;31110
2075;55128;Mainz-Bretzenheim;Am Schleifweg 2;103750;51875;415000
2076;55218;Ingelheim;Binger-Str. 210;49824;16608;166080
2077;54584;Jünkerath;Auf dem Werth 11;149544;49848;448632
2078;54576;Hillesheim;Kölner Str. 44;112212;56106;392742
2079;56812;Cochem-Dohr;Am Heckbaum 2;4158;2079;12474
2080;55294;Bodenheim;Lange Ruthe 7;174720;58240;582400
2081;55411;Bingen-Büdesheim;Hitchinstr. 46;6243;2081;18729
2082;54550;Daun;Bitburger Str. 6;104100;52050;520500
2083;55268;Nieder-Olm;Am Giener 23;99984;33328;166640
2084;55442;Stromberg;Königsberger Str. 1;87528;29176;175056
2085;54568;Gerolstein;Sarresdorfer Str. 48;81315;27105;243945
2086;55457;Gensingen;Am Kieselberg 8;100128;33376;333760
